id;start_date;end_date;language
1;2020-01-03T21:39:37;2020-01-03T19:29:52;SPANISH
2;2020-01-03T02:29:48;2020-01-03T21:34:13;SPANISH
3;2020-01-03T17:25:07;2020-01-03T03:59:16;FRENCH
4;2020-01-03T08:42:38;2020-01-03T20:14:04;FRENCH
5;2020-01-03T18:12:56;2020-01-03T22:59:55;FRENCH
6;2020-01-03T12:05:17;2020-01-04T00:13:31;FRENCH
7;2020-01-03T13:50:37;2020-01-03T07:41:28;FRENCH
8;2020-01-03T12:46:50;2020-01-03T23:02:58;SPANISH
9;2020-01-03T11:27:59;2020-01-03T08:09:22;SPANISH
10;2020-01-03T19:40:03;2020-01-03T06:14:33;SPANISH
